Image Path,RMS Contrast,Mean Saturation,Entropy,Local Entropy,local contrast
pics\ck.jpg,0.22294715,0.33389872,7.045856229317425,7.031311092911683,0.01777619569467161
pics\ct.jpg,0.19497977,0.32983965,7.273501218913484,7.262353882486653,0.019522350813885255
pics\c_a_s.jpg,0.21214338,0.36009768,6.923771717450305,6.923771717450306,0.010797546440279355
pics\c_f_s.jpg,0.17904004,0.340048,6.817018632964762,6.799673093220939,0.0162054082971327
pics\etketan.jpg,0.3012103,0.17206651,7.2803499348145255,7.272358592430115,0.03093862938776369
pics\ettom.jpg,0.24778308,0.21879543,7.619474904460263,7.6159978323775785,0.04717102022966525
pics\e_a_s.jpg,0.26946473,0.18705586,7.324603425757655,7.323223321656907,0.026703339688226416
pics\e_f_s.jpg,0.2568251,0.17280276,7.301054481006932,7.291712418684457,0.029336905213667972
pics\gcketan.jpg,0.2611326,0.0813617,7.619782506248684,7.61234675275025,0.03201978521150702
pics\gctom.jpg,0.2414603,0.16205303,7.59572696270425,7.5871912855518975,0.053120765754554815
pics\g_a_s.jpg,0.24004702,0.10489947,7.547942867912575,7.547471881169666,0.033781712170492535
pics\g_f_s.jpg,0.21013664,0.10257182,7.5387061522146785,7.530515031617426,0.03357661229303161
